time,link_id,vehicle_num,velocity_ave
677,152B409H2M0152B709H2I00,1,3.23
676,152B409H2M0152B709H2I00,1,3.71
678,152B409H2M0152B709H2I00,1,6.44
633,152B409H2M0152B709H2I00,1,6.48
631,152B409H2M0152B709H2I00,1,3.96
634,152B409H2M0152B709H2I00,2,7.01
679,152B409H2M0152B709H2I00,4,4.59
632,152B409H2M0152B709H2I00,4,6.58
645,152B409H2M0152BG09H2V00,1,8.84
675,152B409H2M0152BG09H2V00,1,8.72
646,152B409H2M0152BG09H2V00,1,8.76
619,152B409H2M0152BG09H2V00,2,7.26
615,152B409H2M0152BG09H2V00,2,7.33
616,152B409H2M0152BG09H2V00,2,7.6
618,152B409H2M0152BG09H2V00,2,8.12
678,152B409H2M0152BG09H2V00,2,8.73
647,152B409H2M0152BG09H2V00,2,8.76
649,152B409H2M0152BG09H2V00,2,8.94
676,152B409H2M0152BG09H2V00,3,10.02
648,152B409H2M0152BG09H2V00,3,8.85
679,152B409H2M0152BG09H2V00,3,10.43
680,152B409H2M0152BG09H2V00,3,8.75
677,152B409H2M0152BG09H2V00,4,10.08
677,152B709H2I0152B409H2M00,1,5.6
676,152B709H2I0152B409H2M00,1,7.24
680,152B709H2I0152B409H2M00,2,4.52
679,152B709H2I0152B409H2M00,4,5.83
635,152B709H2I0152BM09H2L00,1,7.49
672,152B709H2I0152BM09H2L00,1,9.21
671,152B709H2I0152BM09H2L00,1,9.47
645,152B709H2I0152BM09H2L00,1,11.85
680,152B709H2I0152BM09H2L00,2,10.23
673,152B709H2I0152BM09H2L00,2,9.83
670,152B709H2I0152BM09H2L00,2,10.37
633,152B709H2I0152BM09H2L00,2,7.56
674,152B709H2I0152BM09H2L00,2,9.25
679,152B709H2I0152BM09H2L00,3,9.48
657,152B709H2I0152BM09H2L00,3,11.58
659,152B709H2I0152BM09H2L00,4,9.19
630,152B709H2I0152BM09H2L00,4,9.27
656,152B709H2I0152BM09H2L00,4,9.51
676,152B709H2I0152BM09H2L00,4,10.3
643,152B709H2I0152BM09H2L00,5,9.42
642,152B709H2I0152BM09H2L00,5,9.83
634,152B709H2I0152BM09H2L00,5,10.03
644,152B709H2I0152BM09H2L00,6,9.38
677,152B709H2I0152BM09H2L00,6,9.5
658,152B709H2I0152BM09H2L00,6,10.05
678,152B709H2I0152BM09H2L00,6,10.11
675,152B709H2I0152BM09H2L00,7,8.79
640,152B709H2I0152BM09H2L00,7,9.18
631,152B709H2I0152BM09H2L00,7,10.62
641,152B709H2I0152BM09H2L00,9,10.09
632,152B709H2I0152BM09H2L00,9,9.76
620,152BC09H180152BG09H1100,1,1.75
621,152BC09H180152BG09H1100,3,5.08
619,152BC09H180152BG09H1100,6,7.35
618,152BC09H180152BG09H1100,2,7.92
622,152BC09H180152BG09H1100,3,8.62
649,152BC09H180152BG09H1100,3,6.42
646,152BC09H180152BG09H1100,5,7.74
632,152BC09H180152BG09H1100,3,7.58
634,152BC09H180152BG09H1100,6,8.0
635,152BC09H180152BG09H1100,1,8.21
